,0
0,0.4599999897181988
1,1.8099999595433474
2,0.549999987706542
3,1.4799999669194221
4,0.8599999807775021
5,0.3299999926239252
6,0.12999999709427357
7,0.6299999859184027
8,0.6099999863654375
9,0.9299999792128801
10,1.459999967366457
11,0.9999999776482582
12,0.41999999061226845
13,2.6699999403208494
14,1.3799999691545963
15,0.5699999872595072
16,0.9599999785423279
17,0.9999999776482582
18,1.4999999664723873
19,2.2799999490380287
20,2.389999946579337
21,1.4799999669194221
22,1.2599999718368053
23,1.5599999651312828
24,1.839999958872795
25,1.579999964684248
26,3.3299999255687
27,2.109999952837825
28,1.289999971166253
29,3.05999993160367
30,2.12999995239079
31,4.539999898523092
32,2.3599999472498894
33,1.459999967366457
34,1.9699999559670687
35,4.829999892041087
36,3.659999918192625
37,2.579999942332506
38,4.649999896064401
39,5.899999868124723
40,3.9299999121576548
41,4.649999896064401
42,1.9999999552965164
43,4.189999906346202
44,4.909999890252948
45,2.199999950826168
46,4.239999905228615
47,5.099999886006117
48,5.019999887794256
49,4.409999901428819
50,5.329999880865216
51,2.4099999461323023
52,3.2399999275803566
53,6.569999853149056
54,6.3299998585134745
55,6.6399998515844345
56,3.9299999121576548
57,3.4799999222159386
58,6.3999998569488525
59,5.929999867454171
60,6.909999845549464
61,5.409999879077077
62,7.339999835938215
63,4.52999989874661
64,8.51999980956316
65,6.859999846667051
66,2.9299999345093966
67,5.099999886006117
68,4.459999900311232
69,8.47999981045723
70,7.159999839961529
71,4.689999895170331
72,5.14999988488853
73,5.749999871477485
74,3.9799999110400677
75,7.929999822750688
76,8.589999807998538
77,5.359999880194664
78,7.6699998285621405
79,8.969999799504876
80,4.589999897405505
81,12.19999972730875
82,8.959999799728394
83,10.709999760612845
84,6.849999846890569
85,18.93999957665801
86,14.279999680817127
87,11.699999738484621
88,24.08999946154654
89,10.409999767318368
90,16.53999963030219
91,7.679999828338623
92,19.58999956212938
93,7.989999821409583
94,14.669999672099948
95,10.779999759048223
96,8.78999980352819
97,15.52999965287745
98,13.529999697580934
99,14.579999674111605
100,13.74999969266355
101,19.179999571293592
102,14.94999966584146
103,22.939999487251043
104,22.059999506920576
105,28.219999369233847
106,31.79999928921461
107,21.21999952569604
108,24.079999461770058
109,28.649999359622598
110,22.53999949619174
111,27.4999993853271
112,21.099999528378248
113,24.989999441429973
114,32.84999926574528
115,24.109999461099505
116,31.889999287202954
117,23.999999463558197
118,27.249999390915036
119,34.3899992313236
120,33.2399992570281
121,23.58999947272241
122,32.8399992659688
123,27.87999937683344
124,25.589999428018928
125,33.65999924764037
126,31.509999295696616
127,31.83999928832054
128,28.50999936275184
129,27.489999385550618
130,31.86999928764999
131,35.19999921321869
132,25.279999434947968
133,36.05999919399619
134,37.10999917052686
135,36.389999186620116
136,37.01999917253852
137,36.94999917410314
138,36.08999919332564
139,36.71999917924404
140,34.23999923467636
141,33.669999247416854
142,39.54999911598861
143,35.43999920785427
144,33.169999258592725
145,38.06999914906919
146,39.57999911531806
147,37.429999163374305
148,39.30999912135303
149,37.60999915935099
150,33.18999925814569
151,29.189999347552657
152,39.559999115765095
153,37.40999916382134
154,39.15999912470579
155,31.13999930396676
156,34.53999922797084
157,33.9299992416054
158,38.94999912939966
159,38.60999913699925
160,33.6999992467463
161,37.79999915510416
162,24.739999447017908
163,37.039999172091484
164,38.95999912917614
165,39.08999912627041
166,39.289999121800065
167,33.07999926060438
168,35.649999203160405
169,35.069999216124415
170,36.67999918013811
171,37.239999167621136
172,37.78999915532768
173,39.48999911732972
174,38.84999913163483
175,36.89999917522073
176,34.99999921768904
177,31.90999928675592
178,29.00999935157597
179,36.94999917410314
180,36.05999919399619
181,38.29999914392829
182,38.979999128729105
183,39.46999911777675
184,36.71999917924404
185,36.86999917589128
186,38.1199991479516
